,compound,create_date,negative,neutral,news_media,positive,tweets_ago
49,0.5106,2018-03-17 03:16:57+00:00,0.152,0.381,fox,0.467,-49
50,0.0,2018-03-17 03:10:32+00:00,0.0,1.0,fox,0.0,-50
51,0.2263,2018-03-16 23:36:37+00:00,0.0,0.913,fox,0.087,-51
52,0.4199,2018-03-16 23:36:24+00:00,0.0,0.782,fox,0.218,-52
53,0.7835,2018-03-16 23:27:46+00:00,0.0,0.537,fox,0.463,-53
54,0.7345,2018-03-16 23:27:14+00:00,0.0,0.64,fox,0.36,-54
55,-0.3597,2018-03-16 23:11:30+00:00,0.14,0.782,fox,0.078,-55
56,0.0,2018-03-16 23:09:07+00:00,0.0,1.0,fox,0.0,-56
57,0.0,2018-03-16 23:07:25+00:00,0.0,1.0,fox,0.0,-57
58,-0.818,2018-03-16 23:00:59+00:00,0.321,0.679,fox,0.0,-58
59,0.4199,2018-03-16 22:40:18+00:00,0.0,0.417,fox,0.583,-59
60,0.5719,2018-03-16 20:34:54+00:00,0.0,0.829,fox,0.171,-60
61,0.2942,2018-03-16 04:01:44+00:00,0.17,0.532,fox,0.297,-61
62,0.0,2018-03-16 01:52:07+00:00,0.0,1.0,fox,0.0,-62
63,0.7003,2018-03-16 01:33:25+00:00,0.0,0.734,fox,0.266,-63
64,0.0,2018-03-16 00:36:14+00:00,0.0,1.0,fox,0.0,-64
65,0.0,2018-03-15 23:44:49+00:00,0.0,1.0,fox,0.0,-65
66,0.0,2018-03-15 22:04:46+00:00,0.0,1.0,fox,0.0,-66
67,0.4574,2018-03-15 22:03:16+00:00,0.0,0.824,fox,0.176,-67
68,0.0,2018-03-15 21:51:34+00:00,0.0,1.0,fox,0.0,-68
69,0.0,2018-03-15 02:58:59+00:00,0.0,1.0,fox,0.0,-69
70,-0.6369,2018-03-15 00:17:24+00:00,0.333,0.568,fox,0.098,-70
71,0.0,2018-03-15 00:05:26+00:00,0.0,1.0,fox,0.0,-71
72,-0.8625,2018-03-14 22:35:40+00:00,0.683,0.317,fox,0.0,-72
73,0.0,2018-03-14 22:08:53+00:00,0.0,1.0,fox,0.0,-73
74,0.6976,2018-03-14 21:32:48+00:00,0.0,0.747,fox,0.253,-74
75,0.3802,2018-03-14 21:32:37+00:00,0.107,0.67,fox,0.223,-75
76,-0.296,2018-03-14 09:43:21+00:00,0.104,0.896,fox,0.0,-76
77,0.4215,2018-03-14 00:14:03+00:00,0.0,0.896,fox,0.104,-77
78,-0.2263,2018-03-13 21:56:19+00:00,0.113,0.821,fox,0.067,-78
79,-0.4404,2018-03-13 21:53:43+00:00,0.492,0.508,fox,0.0,-79
80,0.5509,2018-03-13 21:47:56+00:00,0.152,0.581,fox,0.266,-80
81,0.0,2018-03-13 21:40:02+00:00,0.0,1.0,fox,0.0,-81
82,0.0,2018-03-13 21:38:42+00:00,0.0,1.0,fox,0.0,-82
83,0.0,2018-03-13 11:32:51+00:00,0.0,1.0,fox,0.0,-83
84,0.0,2018-03-13 08:57:37+00:00,0.0,1.0,fox,0.0,-84
85,0.8271,2018-03-13 08:39:15+00:00,0.089,0.543,fox,0.367,-85
86,0.4939,2018-03-13 07:56:31+00:00,0.0,0.61,fox,0.39,-86
87,-0.7906,2018-03-13 05:51:06+00:00,0.438,0.562,fox,0.0,-87
88,0.0,2018-03-13 05:31:56+00:00,0.0,1.0,fox,0.0,-88
89,0.0,2018-03-13 05:27:16+00:00,0.0,1.0,fox,0.0,-89
90,0.7003,2018-03-13 04:05:17+00:00,0.078,0.674,fox,0.248,-90
91,0.5106,2018-03-13 02:01:01+00:00,0.17,0.567,fox,0.263,-91
92,-0.1027,2018-03-13 01:55:02+00:00,0.072,0.928,fox,0.0,-92
93,0.4019,2018-03-13 00:14:42+00:00,0.0,0.87,fox,0.13,-93
94,-0.34,2018-03-12 08:45:39+00:00,0.2,0.688,fox,0.113,-94
95,0.0,2018-03-12 06:59:39+00:00,0.0,1.0,fox,0.0,-95
96,0.4939,2018-03-12 05:17:18+00:00,0.0,0.868,fox,0.132,-96
97,0.5574,2018-03-12 05:01:46+00:00,0.0,0.635,fox,0.365,-97
98,0.0772,2018-03-11 23:45:08+00:00,0.0,0.936,fox,0.064,-98
99,-0.296,2018-03-11 23:10:30+00:00,0.136,0.864,fox,0.0,-99
